#,Column,Non-Null,Count,Dtype
0,Churn,5203,non-null,int64
1,Tenure,4964,non-null,float64
2,PreferredLoginDevice,5203,non-null,object
3,CityTier,5203,non-null,int64
4,WarehouseToHome,4965,non-null,float64
5,PaymentMode,5203,non-null,object
6,Gender,5203,non-null,object
7,HourSpendOnApp,4974,non-null,float64
8,NumberOfDeviceRegistered,5203,non-null,int64
9,OrderCat,5203,non-null,object
10,SatisfactionScore,5203,non-null,int64
11,MaritalStatus,5203,non-null,object
12,NumberOfAddress,5203,non-null,int64
13,Complain,5203,non-null,int64
14,OrderAmountHikeFromlastQuarter,4966,non-null,float64
15,CouponUsed,4966,non-null,float64
16,OrderCount,4952,non-null,float64
17,DaySinceLastOrder,4911,non-null,float64
18,CashbackAmount,5203,non-null,float64
